64 Rk - wRCE,Year,Name,School,Position,Classification,G,AVG,OBP,SLG,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,SO,CS,PO,SB,IBB,PA
"2771","2026","Nick Lundquist","Stonehill","C","Jr","22","0.217","0.316","0.289","12","83","18","0","0","24","2","14","10","2","0","0","21","0","0","0","0","95"
"2772","2026","Ian Smith","Ark.-Pine Bluff","3B","Jr","30","0.237","0.392","0.278","25","97","23","1","0","27","1","18","20","8","5","0","17","1","0","3","0","130"
"2773","2026","Brady Fandl","FDU","2B","Fr","14","0.292","0.452","0.500","9","24","7","2","0","12","1","8","7","0","0","0","8","0","1","2","0","31"
"2774","2026","Hayden Gustavson","Louisiana Tech","C","Jr","19","0.196","0.358","0.412","7","51","10","3","1","21","2","6","10","4","2","1","21","0","0","0","0","68"
"2775","2026","Trevor Dosenbach","Richmond","RF","So","30","0.200","0.286","0.236","4","55","11","0","1","13","0","7","6","1","1","1","13","0","0","6","0","64"
"2776","2026","Sergio DeCello","Purdue","RF","Sr","18","0.217","0.419","0.391","7","23","5","1","0","9","1","7","4","4","0","1","9","1","0","1","0","32"
"2777","2026","Chase Camac","Quinnipiac","RF","Fr","25","0.205","0.326","0.256","17","78","16","4","0","20","0","11","15","0","2","2","13","1","1","6","0","97"
"2778","2026","COLE SILVIA","Iona","RF","So","18","0.237","0.370","0.339","9","59","14","3","0","20","1","10","12","1","1","4","23","1","0","3","0","77"
"2779","2026","Zach Crandall","UC Irvine","C","Sr","12","0.323","0.447","0.355","6","31","10","1","0","11","0","4","5","2","0","0","16","0","0","0","0","38"
"2780","2026","Brandon Stinnett","Seattle U","2B","Jr","26","0.241","0.313","0.310","11","87","21","3","0","27","1","9","4","5","0","1","23","0","0","0","0","97"
"2781","2026","Hayden Carlson","Seattle U","3B","Jr","21","0.222","0.352","0.267","6","45","10","2","0","12","0","8","5","4","0","2","22","0","0","0","0","56"
"2782","2026","Matt Graf","Lindenwood","1B","Sr","20","0.310","0.385","0.345","8","58","18","2","0","20","0","7","5","2","0","4","5","0","0","2","0","69"
"2783","2026","Jacob Rowold","Western Mich.","LF","Sr","21","0.200","0.322","0.300","8","50","10","2","0","15","1","5","7","2","0","0","8","1","0","1","1","59"
"2784","2026","Ernie Echevarria","Penn","C","So","18","0.245","0.365","0.283","12","53","13","2","0","15","0","6","9","1","0","1","11","0","0","1","0","64"
"2785","2026","Ethan Brittain","UNC Greensboro","SS","Fr","26","0.217","0.280","0.241","13","83","18","0","1","20","0","12","6","2","2","4","23","1","0","2","0","97"
"2786","2026","Shaun Williams","Texas Southern","CF","Jr","16","0.234","0.296","0.516","13","64","15","1","1","33","5","17","5","1","1","0","28","0","0","3","0","71"
"2787","2026","Isreal Ramos","Mississippi Val.","RF","Jr","20","0.267","0.380","0.417","12","60","16","3","0","25","2","10","9","2","0","1","15","0","0","1","0","72"
